ProblemName,Seed,T_Default,T_VIA,T_VILCP,T_Achterberg2013,T_VILCP',T_All,N_Default,N_VIA,N_VILCP,N_Achterberg2013,N_VILCP',N_All,T_presolve_VIA,T_presolve_VILCP,Rows_Default,Rows_VIA,Rows_VILCP,Rows_Achterberg2013,Rows_VILCP',Rows_All,Cols_Default,Cols_VIA,Cols_VILCP,Cols_Achterberg2013,Cols_VILCP',Cols_All,Nnz_Default,Nnz_VIA,Nnz_VILCP,Nnz_Achterberg2013,Nnz_VILCP',Nnz_All
square41,1,7202.58,7203.08,7200.36,7206.20,7210.76,7217.19,83,87,89,82,80,83,2.59,0.35,1754,1754,1754,1754,1754,1754,23828,23828,23828,23828,23828,23828,4336554,4336554,4336554,4336554,4336554,4336554
square41,2,7200.66,7200.36,7200.39,7200.59,7200.41,7200.65,63,68,63,70,60,63,2.83,0.37,1754,1754,1754,1754,1754,1754,23828,23828,23828,23828,23828,23828,4336554,4336554,4336554,4336554,4336554,4336554
square41,3,7200.71,7201.41,7210.47,7200.46,7200.45,7203.74,50,51,50,49,50,45,2.70,0.36,1754,1754,1754,1754,1754,1754,23828,23828,23828,23828,23828,23828,4336554,4336554,4336554,4336554,4336554,4336554
square41,4,7205.45,7200.47,7211.32,7203.39,7200.73,7200.41,62,61,59,64,59,60,2.99,0.37,1754,1754,1754,1754,1754,1754,23828,23828,23828,23828,23828,23828,4336554,4336554,4336554,4336554,4336554,4336554
square41,5,7200.21,7200.20,7206.85,7212.31,7209.99,7201.34,83,85,51,83,81,84,2.76,0.44,1754,1754,1754,1754,1754,1754,23828,23828,23828,23828,23828,23828,4336554,4336554,4336554,4336554,4336554,4336554
square47,1,7200.86,7201.17,7200.85,7200.85,7201.58,7201.00,2,2,2,2,2,2,5.49,2.67,2294,2294,2294,2294,2294,2294,35733,35733,35733,35733,35733,35733,8471002,8471002,8471002,8471002,8471002,8471002
square47,2,7201.36,7200.80,7200.38,7200.41,7201.34,7200.41,2,4,2,2,2,2,5.36,2.76,2294,2294,2294,2294,2294,2294,35733,35733,35733,35733,35733,35733,8471002,8471002,8471002,8471002,8471002,8471002
square47,3,7213.14,7221.94,7205.04,7200.33,7207.75,7200.33,8,7,6,6,7,7,4.21,0.19,2294,2294,2294,2294,2294,2294,35733,35733,35733,35733,35733,35733,8471002,8471002,8471002,8471002,8471002,8471002
square47,4,7218.75,7201.28,7201.32,7228.04,7211.71,7200.99,0,2,2,1,1,2,5.71,0.30,2294,2294,2294,2294,2294,2294,35733,35733,35733,35733,35733,35733,8471002,8471002,8471002,8471002,8471002,8471002
square47,5,7201.10,7200.50,7200.18,7201.06,7213.57,7209.69,2,2,1,2,0,0,5.16,2.39,2294,2294,2294,2294,2294,2294,35733,35733,35733,35733,35733,35733,8471002,8471002,8471002,8471002,8471002,8471002
